scenario_id,vehicle_id,DateTime,charging_kw,strategy,forecast_source
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV001,2023-07-07 13:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV001,2023-07-07 13:25:00,5.173333333333335,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 13:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 14:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 14:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 14:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV002,2023-07-07 14:15:00,6.3600000000001105,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 15:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 15:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 15:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 15:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 15:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 16:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 16:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:00:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:05:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:10:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:15:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:20:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:25:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:30:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:35:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV004,2023-07-07 17:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:40:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:45:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:50:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 17:55:00,6.6,immediate,none
20230707_pooled_F10_P050_S42,EV003,2023-07-07 18:00:00,6.6,immediate,none
