date,renewable_energy_kwh,campus_energy_kwh,surplus_energy_kwh,peak_surplus_kw,valid_intervals,total_intervals,surplus_intervals,data_completeness
2023-08-16,20212.41558333333,37702.125166666665,3719.1377499999994,2212.0290000000005,288,288,65,1.0
2022-08-04,24743.75,32958.02133333333,3715.679583333333,1315.9030000000002,288,288,94,1.0
2022-04-23,26823.459583333333,32411.182249999998,3715.2653333333333,1383.392,288,288,82,1.0
2023-05-23,28404.966416666666,49746.93541666667,3701.215166666667,1845.141,288,288,58,1.0
2023-09-29,22951.30875,44860.8975,3689.9011666666665,1676.1109999999999,288,288,65,1.0
2022-07-31,19059.287249999998,27121.744333333332,3679.5476666666664,1177.382,288,288,92,1.0
2023-06-07,28790.740583333332,42234.183666666664,3671.3729166666667,1486.2690000000002,288,288,53,1.0
2023-05-07,25096.862999999998,39127.425749999995,3669.5109166666666,1754.8689999999997,288,288,65,1.0
2022-06-23,25332.00925,35693.57066666667,3668.7614166666663,1341.7379999999994,288,288,60,1.0
2022-04-20,26395.6875,36014.64566666666,3634.5269166666662,1370.9779999999996,288,288,84,1.0
2022-04-15,18403.589,29969.19275,3572.49125,1515.4749999999997,288,288,71,1.0
2023-06-29,29573.65025,39527.76216666667,3571.0888333333332,1715.1390000000001,288,288,77,1.0
2023-07-16,26280.546916666666,34561.33216666667,3569.0857499999997,1926.3319999999994,288,288,68,1.0
2023-06-01,26997.337249999997,44516.11075,3567.513583333333,2184.289,288,288,47,1.0
2023-06-26,29659.485416666666,40410.36988257575,3523.043833333333,2131.298,288,288,72,1.0
2023-05-14,25724.820499999998,39270.29741666667,3502.4799166666667,1597.097,288,288,77,1.0
2022-08-11,28070.739416666664,40346.14758333333,3452.70475,1353.8519999999999,288,288,79,1.0
2023-05-16,32179.904,51642.55883333333,3440.0926666666664,1496.5209999999997,288,288,52,1.0
2023-03-25,18497.769916666664,30873.368,3428.7244999999994,1494.1470000000004,288,288,65,1.0
2023-04-02,21233.696916666664,33204.25508333333,3418.249416666666,1496.1339999999996,288,288,51,1.0
2022-05-28,24813.833499999997,33740.56333333333,3408.3655,1218.9250000000002,288,288,90,1.0
2022-04-22,25290.2965,36256.456249999996,3385.058,1292.181,288,288,76,1.0
2023-06-17,24905.00833333333,33183.511999999995,3379.235583333333,1824.9250000000002,288,288,72,1.0
2022-08-08,24397.29925,33791.142166666665,3364.1850833333333,1465.848,288,288,74,1.0
2022-05-21,23520.15225,32892.75583333333,3338.5619166666665,1237.2349999999997,288,288,72,1.0
2023-04-09,26910.58508333333,34548.436083333334,3320.02875,1470.574,288,288,59,1.0
2022-10-17,23467.905416666665,46960.08725,3260.610583333333,1105.627,288,288,61,1.0
2022-05-18,30858.861416666667,41138.00775,3233.7017499999997,1119.036,288,288,88,1.0
2023-05-26,27684.43625,46470.22808333333,3232.4006666666664,1927.8219999999997,288,288,55,1.0
2022-08-03,26685.791999999998,34188.55625,3197.6432499999996,1279.064,288,288,93,1.0
2022-07-04,23019.714083333332,32754.613583333332,3181.9296666666664,1190.8950000000002,288,288,97,1.0
2023-10-14,15980.136999999999,40035.02675,3148.986083333333,1833.139,288,288,47,1.0
2023-09-06,24673.456749999998,36921.320916666664,3139.3103333333333,871.739,288,288,73,1.0
2022-10-08,21465.555416666666,36994.401333333335,3131.609583333333,1092.7130000000002,288,288,59,1.0
2022-07-27,21092.383583333332,33674.810541666666,3117.99225,1292.368,288,288,75,1.0
2023-01-29,12810.291227083013,32598.019,3117.7512743362568,2327.338804166641,288,288,29,1.0
2023-06-12,30565.3275,41341.42758333333,3109.464333333334,1456.7849999999994,288,288,63,1.0
2022-06-12,22970.830749999997,33002.17691666666,3085.2831666666666,1120.854,288,288,91,1.0
2022-08-12,25183.53283333333,40558.212583333334,3058.7482499999996,1413.6,288,288,57,1.0
2023-07-13,23232.948038204773,39343.19658333333,3052.7083514263622,1934.1496936436379,288,288,50,1.0
2022-08-05,22665.38883333333,31801.381999999998,3043.8606666666665,1076.3859999999997,288,288,87,1.0
2023-08-26,16992.87125,26650.31683333333,3036.0914166666666,1496.5649999999998,288,288,61,1.0
2023-07-21,21755.98175,36564.20079166666,3027.77575,1878.8359999999993,288,288,62,1.0
2022-06-28,25953.630166666666,33676.35433333333,3023.5049166666663,1250.5749999999998,288,288,69,1.0
2023-05-05,24043.53025,42395.613,3023.3815833333333,1658.9349999999995,288,288,44,1.0
2023-07-04,23487.860522274972,39507.74658333333,2970.313406411076,1499.334344334277,288,288,67,1.0
2023-07-20,22804.163666666664,38899.72058333333,2964.7066666666665,1999.1779999999999,288,288,62,1.0
2023-08-06,16661.63425,29305.34908333333,2961.981583333333,1554.1730000000002,288,288,68,1.0
2023-08-13,13404.951083333333,28101.573666666663,2927.2961666666665,2253.575,288,288,40,1.0
2022-07-07,23574.671916666666,33207.58633333333,2926.181083333333,1276.1879999999996,288,288,74,1.0
2023-07-26,20558.190749999998,39394.21333333333,2888.447583333333,2210.719,288,288,62,1.0
2022-08-26,21699.26033333333,37306.1935,2840.423083333333,1436.0569999999998,288,288,57,1.0
2023-10-22,12813.492916666666,38804.743916666666,2826.9762499999997,1504.7380000000003,288,288,40,1.0
2023-07-24,22334.281,34844.903374999994,2805.2460833333334,1771.8740000000003,288,288,57,1.0
2023-09-13,20138.18433333333,33697.85158333333,2804.6555,1211.0520000000001,288,288,46,1.0
2023-04-15,23622.521249999998,35461.13566666666,2804.23975,1489.8359999999998,288,288,62,1.0
2022-06-03,25460.004916666665,36437.64741666667,2726.1503333333335,992.6970000000001,288,288,92,1.0
2022-07-13,23755.60108333333,33148.0945,2715.543666666667,1377.6530000000002,288,288,65,1.0
2023-08-02,20403.043916666666,37660.397,2712.049583333333,2027.8290000000002,288,288,59,1.0
2022-07-20,23280.09733333333,34946.17783333333,2677.1656666666663,1083.094,288,288,65,1.0
2022-06-29,24304.237083333333,33629.221333333335,2670.911583333333,1665.174,288,288,83,1.0
2022-07-26,22573.073833333332,33763.38175,2631.015416666666,1442.153,288,288,76,1.0
2022-07-15,20462.90125,31730.658916666664,2615.5335,1176.966,288,288,70,1.0
2023-09-25,22442.5285,39332.796125,2608.702333333333,1338.1480000000001,288,288,51,1.0
2023-06-18,19399.762583333333,30806.82808333333,2603.9570833333332,1771.8220000000001,288,288,58,1.0
2023-08-15,18490.81825,35619.494666666666,2568.8464166666668,2302.427,288,288,49,1.0
2022-09-16,22770.76583333333,34185.64225,2540.74525,1314.0209999999997,288,288,57,1.0
2022-08-28,17279.262833333334,31745.662999999997,2526.96375,1379.616,288,288,53,1.0
2022-06-27,20981.3425,31838.909,2515.840166666667,1463.428,288,288,61,1.0
2023-08-27,16333.013833333333,25854.718249999998,2480.8951666666667,1526.94,288,288,59,1.0
2023-04-28,21542.167166666666,48705.42925,2479.8624166666664,1680.728,288,288,37,1.0
